x,y,z
77.586,84.797,-0.001
77.675,84.75,-0.001
77.763,84.703,-0.001
77.851,84.656,-0.001
77.939,84.609,-0.001
78.029,84.564,-0.001
78.117,84.517,-0.001
78.205,84.47,-0.001
78.293,84.423,-0.001
78.382,84.376,-0.001
78.47,84.329,-0.001
78.558,84.283,-0.001
78.647,84.236,-0.001
78.736,84.189,-0.001
78.824,84.142,-0.001
78.912,84.095,-0.001
79.001,84.048,-0.001
79.089,84.002,-0.001
79.177,83.955,-0.001
79.265,83.909,-0.001
79.354,83.862,-0.001
79.442,83.815,-0.001
79.531,83.769,-0.001
79.62,83.722,-0.001
79.708,83.675,-0.001
79.796,83.628,-0.001
79.884,83.581,-0.001
79.973,83.534,-0.001
80.061,83.487,-0.001
80.149,83.44,-0.001
80.238,83.393,-0.001
80.326,83.346,-0.001
80.414,83.299,-0.001
80.502,83.253,-0.001
80.59,83.206,-0.001
80.678,83.158,-0.001
80.767,83.111,-0.001
80.855,83.064,-0.001
80.946,83.024,-0.001
81.038,82.984,-0.001
81.13,82.944,-0.001
81.222,82.904,-0.001
81.313,82.865,-0.001
81.405,82.825,-0.001
81.497,82.786,-0.001
81.589,82.746,-0.001
81.681,82.706,-0.001
81.773,82.666,-0.001
81.864,82.626,-0.001
81.956,82.587,-0.001
82.048,82.547,-0.001
82.14,82.507,-0.001
82.231,82.467,-0.001
82.323,82.427,-0.001
82.415,82.388,-0.001
82.507,82.348,-0.001
82.599,82.309,-0.001
82.69,82.269,-0.001
82.781,82.229,-0.001
82.873,82.189,-0.001
82.965,82.149,-0.001
83.057,82.109,-0.001
83.148,82.07,-0.001
83.24,82.03,-0.001
83.332,81.99,-0.001
83.424,81.95,-0.001
83.515,81.91,-0.001
83.607,81.87,-0.001
83.705,81.85,-0.001
83.803,81.829,-0.001
83.901,81.808,-0.001
83.998,81.787,-0.001
84.097,81.768,-0.001
84.194,81.747,-0.001
84.293,81.726,-0.001
84.39,81.706,-0.001
84.488,81.685,-0.001
84.586,81.665,-0.001
84.684,81.645,-0.001
84.781,81.624,-0.001
84.88,81.603,-0.001
84.977,81.582,-0.001
85.075,81.562,-0.001
